District,Crop,Season,Year,Rainfall_mm,Temperature_Max_C,Temperature_Min_C,Humidity_Percent,Soil_pH,Organic_Carbon_Percent,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Percent,Fertilizer_N_kg_ha,Fertilizer_P_kg_ha,Fertilizer_K_kg_ha,Seed_Quality,Farm_Size_ha,Mechanization,Yield_kg_ha
Sambalpur,Paddy,Rabi,2019,200.5,28.2,17.2,65.9,6.73,0.788,130.5,42.1,81.7,28.3,128.4,50.7,37.9,Low,0.06,Low,1197.0
Dhenkanal,Paddy,Rabi,2019,245.0,28.9,19.6,70.0,5.54,0.466,209.9,29.9,149.3,51.5,154.9,56.7,51.0,Medium,3.51,High,3682.0
Dhenkanal,Paddy,Rabi,2018,246.5,26.8,20.0,65.8,6.41,0.349,45.4,34.0,225.0,29.0,129.7,85.1,48.9,Low,4.56,Medium,1176.0
Keonjhar,Paddy,Rabi,2019,202.2,25.0,18.9,53.3,6.43,0.522,110.3,33.6,144.3,80.3,145.0,36.2,35.8,Medium,2.12,Low,2234.0
Mayurbhanj,Paddy,Kharif,2023,1307.2,30.4,19.1,78.5,5.52,0.754,168.5,25.4,163.6,35.0,145.3,44.0,33.0,Low,2.98,Medium,2925.0
Mayurbhanj,Paddy,Kharif,2023,1638.0,29.6,22.3,73.2,4.5,0.471,149.6,26.2,162.0,59.5,149.1,40.2,58.3,Low,5.03,High,3374.0
Cuttack,Paddy,Summer,2020,91.5,31.1,30.0,53.9,7.19,0.311,156.0,25.0,151.6,23.2,123.6,67.7,47.1,Medium,1.11,High,2616.0
Angul,Paddy,Kharif,2020,1435.9,32.2,28.1,92.0,6.0,0.696,205.8,35.9,116.2,79.0,163.3,56.0,47.2,Medium,3.83,Medium,4193.0
Sambalpur,Maize,Kharif,2018,1266.1,26.9,23.9,81.1,6.17,0.24,176.4,14.6,173.4,60.8,118.1,74.3,30.1,High,0.1,High,4086.0
Kendrapara,Paddy,Kharif,2023,1178.6,28.9,22.9,68.4,7.77,0.555,152.0,26.7,146.1,46.1,137.4,55.9,17.0,Medium,1.15,Medium,3568.0
Khordha,Maize,Rabi,2021,150.6,27.6,16.1,52.1,6.36,0.437,123.1,19.8,112.1,53.0,122.3,47.1,55.2,Medium,0.34,Medium,3113.0
Ganjam,Maize,Rabi,2020,130.1,29.7,16.7,61.1,5.73,0.42,181.9,18.4,159.5,32.3,117.5,51.3,47.6,High,2.76,Low,2987.0
Balasore,Maize,Kharif,2019,1523.9,29.7,20.4,65.0,6.24,0.589,143.8,30.1,91.8,58.2,94.2,54.2,50.1,High,2.86,Low,3162.0
Jajpur,Paddy,Rabi,2020,228.9,27.4,18.7,60.2,6.27,0.527,226.7,27.0,161.8,35.3,110.4,64.3,60.8,Medium,5.24,Medium,3326.0
Puri,Maize,Rabi,2018,265.1,28.1,21.4,67.6,6.02,0.674,91.6,26.9,177.0,7.3,139.0,94.1,41.8,High,0.93,Medium,2285.0
Mayurbhanj,Paddy,Kharif,2019,1295.8,33.0,26.1,73.9,5.98,0.403,162.2,28.0,176.5,11.6,150.3,48.4,27.6,High,5.98,Medium,3452.0
Puri,Paddy,Summer,2023,50.0,36.9,24.7,61.4,7.45,0.731,206.9,20.0,143.6,39.3,105.8,74.3,29.5,Medium,1.19,Low,1667.0
Angul,Maize,Kharif,2018,1158.0,29.2,20.9,55.7,6.33,0.666,198.9,12.8,186.4,34.9,100.3,59.4,44.3,Medium,4.93,Medium,2206.0
Jagatsinghpur,Paddy,Kharif,2020,1017.9,30.7,19.8,66.5,7.37,0.595,226.7,33.3,115.0,49.6,109.3,63.6,34.3,Medium,0.79,Low,2512.0
Baragarh,Paddy,Kharif,2021,1444.4,25.5,22.5,73.0,8.26,0.572,212.5,10.0,155.0,38.3,132.6,34.6,31.0,High,2.51,Low,1349.0
Baragarh,Maize,Rabi,2021,243.5,31.0,17.0,62.4,6.12,0.479,220.6,20.0,193.8,26.0,125.0,45.4,39.8,High,1.66,Medium,3114.0
Dhenkanal,Paddy,Rabi,2018,208.5,27.4,18.0,67.8,5.77,0.433,187.8,17.2,164.3,13.0,135.8,63.8,49.8,Medium,2.73,High,2050.0
Kendrapara,Maize,Kharif,2019,1361.3,33.6,22.5,79.5,5.6,0.458,123.7,17.6,102.7,12.7,134.8,62.8,31.4,High,0.76,Medium,3112.0
Jajpur,Maize,Summer,2020,134.5,35.2,25.9,72.7,5.7,0.822,208.3,20.5,172.1,82.3,154.3,58.9,46.2,High,1.95,Low,3302.0
Mayurbhanj,Paddy,Rabi,2018,230.9,28.8,19.5,62.7,6.3,0.503,184.6,15.0,241.2,29.5,114.1,45.5,46.6,High,1.52,Medium,2278.0
Mayurbhanj,Paddy,Kharif,2020,1028.8,40.2,24.2,86.1,4.54,0.357,233.4,27.5,221.5,37.0,127.7,59.7,46.4,High,0.02,High,3573.0
Cuttack,Paddy,Kharif,2018,878.9,33.7,22.4,76.4,6.43,0.237,105.5,22.6,165.9,44.7,112.5,56.3,31.2,High,7.83,Low,2483.0
Mayurbhanj,Maize,Summer,2020,54.0,37.6,26.2,66.4,5.93,0.643,159.9,21.7,146.4,32.1,138.9,96.8,41.1,Medium,14.02,Low,1814.0
Balasore,Paddy,Kharif,2018,1509.5,37.4,22.8,74.9,6.43,0.6,206.3,41.1,143.8,16.0,91.5,52.2,42.2,Low,1.71,Medium,2943.0
Keonjhar,Paddy,Kharif,2022,1268.6,33.8,23.3,82.7,7.09,0.673,200.3,33.5,190.9,51.8,115.0,62.2,52.1,High,4.26,Low,4490.0
Jagatsinghpur,Paddy,Kharif,2022,1238.2,32.1,21.3,84.0,6.72,0.874,167.7,26.8,158.7,47.3,76.8,53.3,41.9,Medium,3.08,High,3449.0
Angul,Paddy,Rabi,2023,248.3,26.3,18.8,77.5,6.15,0.467,255.2,13.4,73.0,54.4,127.3,51.5,27.2,Low,0.41,Medium,1432.0
Sambalpur,Maize,Rabi,2021,123.7,25.9,17.9,66.9,6.01,0.603,129.9,36.6,147.1,53.2,113.1,68.5,44.5,Medium,2.46,High,3543.0
Dhenkanal,Paddy,Kharif,2023,1298.3,30.0,27.6,77.7,5.06,0.569,152.8,31.7,127.2,65.1,106.4,23.6,24.2,Medium,4.92,Low,3011.0
Keonjhar,Paddy,Rabi,2018,199.8,25.0,21.0,72.0,6.02,0.554,188.3,8.7,141.3,28.1,98.0,87.0,46.4,Low,0.56,High,1151.0
Balasore,Maize,Kharif,2018,1040.3,32.2,22.7,83.6,6.51,0.684,205.4,33.4,131.3,57.2,172.1,63.0,33.5,Low,0.62,Low,3183.0
Koraput,Paddy,Rabi,2022,198.8,34.4,21.5,68.5,6.23,0.568,204.5,16.8,141.0,6.4,146.2,41.6,25.4,Low,0.1,Low,1111.0
Sambalpur,Paddy,Rabi,2019,300.1,29.8,20.3,54.8,4.96,0.737,174.9,31.0,124.9,85.0,41.7,65.7,38.9,High,1.3,Medium,2763.0
Mayurbhanj,Paddy,Kharif,2023,935.0,35.2,26.1,75.6,6.21,0.536,115.3,37.4,123.2,59.0,100.3,46.7,44.2,Medium,2.22,Low,2067.0
Kendrapara,Paddy,Rabi,2022,134.8,32.5,18.4,61.3,7.63,0.576,223.6,20.9,151.5,12.1,125.7,46.6,31.2,Medium,2.9,High,2587.0
Dhenkanal,Paddy,Rabi,2020,304.4,27.6,20.2,56.7,6.69,0.392,155.0,40.3,143.3,42.9,180.1,63.0,50.5,High,6.68,Medium,3450.0
Puri,Paddy,Rabi,2019,233.4,25.0,17.1,52.1,6.94,0.5,188.2,20.2,138.6,48.9,143.7,54.1,25.3,Medium,1.0,Medium,2246.0
Angul,Paddy,Rabi,2021,310.6,31.3,15.0,79.1,6.23,0.515,198.0,16.6,150.1,85.7,125.1,75.3,18.1,Medium,3.14,Medium,2529.0
Khordha,Paddy,Summer,2021,137.9,37.2,27.7,54.7,5.44,0.419,140.6,32.8,128.4,6.0,101.9,36.2,38.7,Medium,0.5,Medium,1709.0
Mayurbhanj,Paddy,Rabi,2022,269.9,27.8,16.8,65.5,6.58,0.571,228.2,28.1,140.1,69.8,172.5,55.9,47.5,High,3.79,Medium,4121.0
Angul,Maize,Rabi,2019,262.4,34.7,15.5,69.2,5.61,0.497,198.1,34.8,206.8,10.5,129.4,60.0,44.1,Medium,1.4,Low,2672.0
Cuttack,Paddy,Kharif,2023,1260.5,30.4,20.8,82.5,5.32,0.443,156.5,23.4,123.4,35.8,73.3,66.9,61.2,Medium,1.01,Medium,3412.0
Puri,Paddy,Kharif,2019,1283.8,29.0,25.3,70.7,6.27,0.788,167.7,35.5,107.5,27.7,143.4,94.8,43.9,High,3.52,High,4004.0
Baragarh,Paddy,Kharif,2019,1316.5,28.5,20.9,68.2,5.63,0.747,181.6,26.5,146.6,27.8,44.5,60.4,61.9,Medium,1.9,Low,3137.0
Balasore,Maize,Kharif,2018,1113.2,30.4,24.2,82.4,6.3,0.656,101.2,23.3,114.2,52.2,148.0,67.7,50.0,High,1.63,Medium,3537.0
Kendrapara,Maize,Kharif,2022,1186.2,34.2,23.1,64.7,7.21,0.722,99.4,20.5,128.9,65.7,83.1,56.1,32.3,Medium,2.41,Medium,2308.0
Keonjhar,Maize,Rabi,2021,224.5,25.0,18.9,70.8,5.85,0.749,129.1,35.8,82.0,70.5,116.9,56.5,29.5,Medium,2.18,Medium,2146.0
Jagatsinghpur,Paddy,Kharif,2022,961.3,31.6,23.1,84.5,5.15,0.289,179.8,21.9,169.4,49.1,134.8,58.3,44.7,Low,0.2,Medium,2694.0
Baragarh,Paddy,Summer,2022,99.4,43.2,23.2,40.0,6.49,0.511,220.4,24.0,128.8,27.3,156.8,23.5,41.9,Medium,11.95,Low,1591.0
Sambalpur,Paddy,Rabi,2019,111.1,29.8,20.6,55.0,5.8,0.592,143.0,30.1,192.9,27.2,163.7,87.0,47.5,Medium,0.34,Medium,2929.0
Keonjhar,Paddy,Kharif,2020,766.9,34.9,23.0,71.9,6.37,0.627,167.2,25.0,176.1,13.6,140.7,40.6,42.3,High,0.96,Low,3257.0
Jagatsinghpur,Paddy,Kharif,2021,856.5,30.4,25.2,87.9,6.22,0.596,248.1,26.9,241.1,78.2,158.7,70.1,38.6,High,0.71,Low,4423.0
Cuttack,Paddy,Kharif,2019,941.3,35.2,25.5,82.7,7.44,0.692,207.5,7.3,191.9,29.4,143.9,69.5,44.8,Medium,1.74,High,1295.0
Angul,Maize,Kharif,2022,950.0,30.8,23.2,66.4,4.87,0.554,223.0,20.7,160.6,67.5,168.2,83.4,30.1,Medium,3.43,Low,3484.0
Sambalpur,Maize,Kharif,2022,1113.6,29.3,22.3,76.9,6.58,0.345,187.6,29.6,215.2,21.3,91.2,78.0,20.6,Medium,0.51,Medium,4803.0
Jagatsinghpur,Maize,Kharif,2020,846.3,35.1,23.6,75.0,6.52,0.521,235.6,16.1,148.2,48.2,147.0,71.7,43.5,High,3.48,Medium,2763.0
Koraput,Paddy,Kharif,2019,1004.7,29.3,24.7,76.2,5.53,0.412,167.8,37.5,131.6,82.7,146.5,63.7,40.9,Medium,6.9,High,3596.0
Dhenkanal,Paddy,Summer,2022,84.1,33.6,27.7,41.7,8.13,0.562,193.9,18.5,139.0,38.5,150.5,99.9,37.0,Medium,1.96,High,2303.0
Ganjam,Maize,Kharif,2022,1110.3,38.0,27.5,69.7,5.63,0.561,235.9,25.5,127.3,47.7,96.0,77.4,32.3,Medium,0.57,Low,2550.0
Angul,Maize,Kharif,2019,887.4,31.8,22.5,78.7,6.91,0.404,179.8,33.3,167.7,68.4,65.1,63.0,43.6,Medium,4.0,Medium,5229.0
Puri,Paddy,Kharif,2021,954.2,32.6,20.9,88.4,8.23,0.577,176.2,22.4,177.4,62.7,154.3,44.1,39.6,Medium,0.98,Low,2943.0
Balasore,Paddy,Rabi,2019,161.4,26.4,15.5,68.9,6.01,0.593,162.8,14.4,187.9,60.4,106.3,55.5,42.4,Medium,5.89,Low,1553.0
Baragarh,Paddy,Rabi,2023,239.8,29.9,17.0,70.3,5.95,0.449,198.8,16.9,142.2,35.9,83.6,52.5,54.4,Medium,5.85,Medium,2116.0
Ganjam,Paddy,Kharif,2020,1349.3,27.3,21.1,73.4,5.14,0.514,139.5,24.2,199.4,42.1,131.6,49.6,48.4,Low,2.43,Medium,2693.0
Kendrapara,Maize,Kharif,2021,1267.9,30.1,22.2,78.7,4.69,0.506,115.7,31.2,186.8,14.7,171.3,71.0,33.5,High,2.19,Low,2790.0
Sambalpur,Paddy,Kharif,2021,1432.4,32.8,25.3,83.2,8.35,0.278,152.5,36.8,137.7,50.3,156.7,86.2,29.9,Medium,0.28,Medium,3721.0
Jagatsinghpur,Maize,Kharif,2019,1270.6,31.9,22.8,65.6,6.28,0.48,172.2,27.4,62.4,16.6,188.3,97.3,33.0,Medium,4.81,High,2198.0
Cuttack,Paddy,Rabi,2018,214.4,26.5,15.3,60.4,6.88,0.57,233.2,26.6,184.7,46.6,164.4,49.4,43.4,High,2.81,Medium,4325.0
Angul,Maize,Rabi,2018,175.8,28.4,21.2,72.2,5.99,0.416,93.9,19.2,142.6,16.1,115.0,43.6,54.1,Medium,0.03,Medium,1870.0
Kendrapara,Paddy,Rabi,2022,237.9,25.0,18.2,64.7,6.03,0.531,104.7,20.6,153.2,58.8,149.1,66.4,33.5,Medium,0.81,Medium,2434.0
Angul,Paddy,Kharif,2020,1638.2,27.9,23.3,79.9,5.98,0.539,203.1,5.9,105.7,41.6,132.9,79.1,35.0,Medium,0.27,Low,1257.0
Keonjhar,Maize,Kharif,2021,1222.2,28.7,24.2,77.1,6.07,0.528,209.5,12.1,118.5,58.0,77.9,38.2,13.8,Low,1.97,High,1799.0
Jajpur,Maize,Kharif,2022,1196.3,33.2,21.5,79.0,6.73,0.476,222.5,21.3,119.9,67.0,142.4,41.4,41.7,Medium,20.4,High,4024.0
Jagatsinghpur,Maize,Rabi,2023,228.2,33.9,20.3,61.4,5.18,0.545,157.3,12.8,158.4,23.2,109.1,64.2,33.3,Low,7.21,High,1500.0
Balasore,Paddy,Kharif,2021,1251.1,35.1,21.1,71.3,6.71,0.441,189.6,5.6,245.1,34.2,128.6,66.2,54.9,Low,0.56,High,1098.0
Cuttack,Paddy,Kharif,2023,1426.8,34.7,25.6,78.6,7.06,0.764,232.3,20.8,185.5,44.2,109.3,62.7,41.5,Medium,0.28,Medium,2836.0
Koraput,Paddy,Kharif,2020,1395.0,38.3,25.6,91.8,6.74,0.609,211.7,23.9,93.4,58.9,111.6,75.4,32.1,High,0.06,Medium,2602.0
Mayurbhanj,Paddy,Rabi,2022,274.1,26.6,19.2,58.2,6.09,0.713,188.8,35.3,164.9,80.2,89.0,44.9,41.7,Low,3.19,Medium,3326.0
Dhenkanal,Paddy,Kharif,2018,1362.4,30.1,24.0,85.6,5.37,0.421,225.0,22.8,122.8,59.0,115.2,74.2,37.7,Low,0.23,Medium,3122.0
Angul,Paddy,Summer,2018,115.7,34.7,26.6,55.7,5.36,0.709,188.1,22.7,134.7,41.0,138.0,38.4,37.9,Medium,1.15,High,2499.0
Jagatsinghpur,Paddy,Rabi,2018,272.6,26.9,22.2,62.8,6.49,0.696,244.1,19.1,135.4,48.1,166.4,48.6,41.9,High,1.15,High,3335.0
Ganjam,Maize,Kharif,2022,983.5,34.4,24.4,78.7,6.73,0.509,216.6,17.4,199.4,41.4,98.4,63.5,51.0,High,1.21,Medium,3077.0
Sambalpur,Paddy,Rabi,2021,135.6,30.9,21.8,80.1,6.83,0.704,185.2,29.2,218.0,30.4,129.4,62.2,33.8,High,2.78,Medium,4861.0
Keonjhar,Maize,Rabi,2021,226.9,28.2,17.6,59.8,5.67,0.46,193.6,17.0,163.8,54.3,154.2,42.4,48.5,Medium,6.24,Medium,2963.0
Dhenkanal,Paddy,Rabi,2019,196.2,25.0,17.7,65.3,6.67,0.551,114.9,20.8,157.9,62.8,103.1,58.8,38.0,High,0.13,Low,1995.0
Jajpur,Maize,Rabi,2021,161.9,28.9,17.9,83.2,6.64,0.533,119.6,26.0,178.8,50.5,159.5,67.9,38.8,Low,1.25,Low,2109.0
Puri,Paddy,Rabi,2020,252.4,28.9,20.1,68.7,6.64,0.684,95.3,21.1,166.4,60.1,146.5,56.7,39.9,Medium,1.64,Medium,2247.0
Koraput,Maize,Summer,2018,50.0,36.3,29.7,40.0,7.1,0.509,199.5,30.3,165.4,10.8,104.2,32.6,32.4,Low,0.39,Medium,2437.0
Mayurbhanj,Paddy,Kharif,2021,1093.1,30.0,22.4,84.0,4.9,0.564,167.3,13.8,117.4,24.4,100.4,78.2,40.6,Medium,0.12,Medium,2004.0
Jagatsinghpur,Paddy,Kharif,2023,1684.5,34.6,23.7,73.6,5.51,0.647,219.8,23.7,188.7,11.3,105.6,47.2,30.8,High,1.03,Low,2652.0
Ganjam,Paddy,Kharif,2018,1107.2,28.1,20.4,79.1,4.8,0.666,124.2,7.1,139.7,34.4,141.4,74.4,27.9,High,0.26,Low,1100.0
Khordha,Paddy,Rabi,2023,189.8,27.8,19.3,56.1,6.79,0.721,245.4,7.9,143.6,4.5,113.4,54.0,43.0,Medium,2.39,Low,1135.0
Jagatsinghpur,Maize,Kharif,2018,1020.2,25.0,26.7,76.6,4.64,0.613,167.9,29.6,185.4,7.7,113.8,52.9,40.3,High,0.44,High,4004.0
Kendrapara,Paddy,Kharif,2020,1335.3,31.6,26.0,76.5,5.05,0.64,153.1,23.1,193.3,22.9,82.5,70.5,48.6,High,3.8,Low,3195.0
Dhenkanal,Maize,Kharif,2022,1166.4,33.2,24.1,67.3,6.39,0.348,195.0,18.6,151.3,19.8,176.2,67.3,42.9,High,6.49,High,3648.0
Dhenkanal,Paddy,Kharif,2021,1222.9,29.4,26.7,85.6,7.01,0.249,257.9,20.5,177.2,75.4,89.8,38.3,54.3,High,2.47,Medium,4084.0
Balasore,Maize,Kharif,2022,1344.5,36.3,25.4,83.2,5.31,0.805,179.5,30.8,138.7,38.9,179.0,68.1,30.4,Medium,4.26,High,4258.0
Koraput,Paddy,Kharif,2018,1150.7,34.1,21.2,75.0,7.48,0.795,120.9,15.9,140.5,41.0,99.2,34.8,40.9,Low,0.86,Low,1364.0
Jajpur,Paddy,Kharif,2021,1132.1,35.0,23.5,86.4,6.55,1.039,177.9,28.1,133.2,87.4,131.9,40.3,32.0,High,0.59,Medium,3356.0
Balasore,Paddy,Rabi,2018,274.4,28.3,19.6,69.4,7.29,0.514,254.8,9.1,180.0,21.5,123.8,68.4,46.1,Medium,1.17,Medium,1037.0
Jagatsinghpur,Paddy,Kharif,2020,981.6,32.9,19.7,80.3,6.37,0.474,97.0,23.3,148.7,65.5,113.3,23.9,55.9,Low,1.9,Low,1689.0
Puri,Paddy,Kharif,2018,1514.4,30.3,26.2,92.7,6.0,0.499,144.1,20.9,121.5,17.9,166.7,82.5,35.0,Low,2.84,Medium,2642.0
Baragarh,Paddy,Rabi,2019,232.4,27.9,21.9,64.2,6.78,0.552,195.9,27.3,135.1,46.7,150.8,64.8,30.9,Low,0.63,Low,2732.0
Dhenkanal,Paddy,Rabi,2018,253.2,27.7,17.3,62.8,6.41,0.279,233.3,25.4,135.5,1.0,87.8,46.5,33.3,High,1.63,High,3069.0
Koraput,Paddy,Kharif,2019,1292.7,32.9,24.0,77.5,5.74,0.573,168.7,37.4,178.4,29.5,114.5,69.8,43.2,Medium,2.5,High,4120.0
Keonjhar,Paddy,Kharif,2018,1479.3,33.2,25.5,83.0,5.28,0.559,223.0,37.2,124.8,43.5,133.9,68.1,54.4,Medium,5.5,Medium,2886.0
Angul,Paddy,Rabi,2020,219.9,29.2,15.5,72.5,6.89,0.862,236.9,23.7,112.1,49.4,185.6,68.0,31.9,Medium,4.37,Medium,2926.0
Puri,Paddy,Kharif,2023,1168.7,35.9,25.5,84.5,5.87,0.474,112.0,22.9,182.7,23.5,130.7,39.6,36.8,Medium,3.33,Medium,1975.0
Keonjhar,Paddy,Kharif,2023,1255.0,35.5,22.4,80.9,6.45,0.535,159.8,34.7,129.1,6.1,160.0,69.4,50.7,Medium,5.0,Medium,3615.0
Dhenkanal,Paddy,Rabi,2020,288.4,26.5,15.3,60.6,6.76,0.574,171.7,29.5,98.5,32.7,146.6,59.0,33.5,Medium,2.83,Medium,2450.0
Khordha,Maize,Kharif,2023,1200.7,33.2,22.0,68.4,6.5,0.49,252.8,32.6,166.6,30.8,90.6,105.9,29.0,Medium,0.81,Low,4136.0
Angul,Paddy,Kharif,2020,1038.5,31.6,25.9,80.1,6.47,0.67,197.2,22.3,144.2,30.7,101.1,64.3,40.7,Medium,4.7,High,3437.0
Mayurbhanj,Paddy,Rabi,2019,190.2,26.0,17.6,59.7,5.64,0.291,170.8,11.4,133.8,17.2,108.6,51.3,53.7,High,0.59,Low,1064.0
Khordha,Maize,Kharif,2023,816.4,31.5,26.7,80.3,6.39,0.391,133.4,25.1,100.1,53.3,95.0,42.2,16.8,Medium,2.13,Medium,2795.0
Khordha,Paddy,Kharif,2022,1273.7,28.4,23.0,91.6,6.14,0.2,121.2,21.6,186.3,21.9,105.3,65.2,42.6,Medium,1.68,Medium,2313.0
Koraput,Maize,Summer,2022,73.2,39.6,22.1,57.9,5.47,0.443,197.7,21.6,163.3,53.6,126.6,52.0,52.0,High,2.03,Low,2176.0
Dhenkanal,Paddy,Kharif,2022,1296.8,30.9,25.1,80.4,6.5,0.753,207.6,23.9,108.6,28.6,100.3,49.0,39.3,Medium,3.57,High,3311.0
Baragarh,Maize,Kharif,2023,1434.3,30.9,22.8,69.1,8.13,0.583,180.9,32.1,127.2,76.7,171.7,36.7,37.0,High,3.22,High,4504.0
Puri,Paddy,Rabi,2019,237.5,32.3,16.8,67.6,5.84,0.663,135.3,30.9,154.0,28.7,166.0,62.1,33.0,High,8.14,Medium,2520.0
Balasore,Paddy,Kharif,2023,965.5,35.4,24.7,82.3,5.43,0.403,219.7,33.3,111.9,38.9,108.2,53.0,28.5,Low,0.16,High,2188.0
Keonjhar,Paddy,Kharif,2019,970.5,28.1,25.7,73.6,5.5,0.521,239.1,21.8,170.1,44.7,88.7,44.1,38.6,Medium,7.04,Medium,2607.0
Koraput,Maize,Kharif,2023,994.0,31.9,24.6,79.0,6.53,0.453,226.1,39.6,93.9,27.3,125.7,88.4,42.2,Medium,2.06,Low,2393.0
Sambalpur,Paddy,Kharif,2022,1138.7,36.5,25.2,78.6,6.03,0.407,183.1,27.1,106.5,46.9,62.8,47.1,35.9,High,2.38,Medium,3074.0
Khordha,Paddy,Rabi,2018,175.6,29.3,18.2,60.0,6.43,0.506,207.9,23.1,104.9,25.6,133.1,47.0,33.4,High,2.84,High,3210.0
Khordha,Paddy,Kharif,2023,913.7,35.6,27.1,82.3,6.03,0.484,202.0,25.6,93.6,38.0,100.9,32.1,56.0,Medium,1.93,Medium,1918.0
Khordha,Paddy,Kharif,2020,1112.3,30.4,27.7,79.3,5.97,0.455,215.8,21.0,148.2,44.8,90.5,56.7,39.1,Medium,1.27,Medium,3264.0
Puri,Paddy,Rabi,2023,237.6,28.8,17.3,42.3,6.22,0.596,115.5,29.0,140.2,48.5,150.1,76.3,28.8,High,4.87,Low,2335.0
Balasore,Maize,Kharif,2020,1497.0,31.3,19.3,67.1,5.43,0.456,175.8,3.4,156.5,14.2,146.0,76.2,34.3,High,0.43,Medium,1500.0
Sambalpur,Maize,Summer,2018,98.1,40.0,24.9,53.6,6.79,0.264,232.7,25.6,135.6,37.4,121.2,66.6,49.5,High,5.86,Medium,2444.0
Puri,Paddy,Kharif,2022,1286.5,33.4,22.6,72.3,6.11,0.416,213.7,22.0,48.3,23.8,48.9,79.9,43.1,Medium,0.42,High,1081.0
Ganjam,Paddy,Kharif,2023,930.9,31.7,23.2,70.4,6.69,0.352,211.0,17.0,123.7,17.2,149.4,67.8,29.0,Medium,1.12,Medium,2321.0
Jagatsinghpur,Maize,Kharif,2018,1378.6,37.5,23.2,83.7,8.03,0.457,118.6,10.0,174.9,4.8,136.3,45.7,33.2,Medium,0.73,Low,1500.0
Angul,Maize,Summer,2018,126.8,40.9,30.0,40.0,5.78,0.44,208.9,16.6,176.5,51.0,128.5,45.2,31.5,Medium,6.61,Medium,1841.0
Kendrapara,Paddy,Rabi,2018,146.5,33.7,15.4,66.5,7.01,0.362,187.4,32.5,150.4,74.6,96.1,57.4,47.7,High,3.14,Medium,4492.0
Koraput,Paddy,Kharif,2022,1249.0,33.1,24.3,71.0,5.63,0.728,237.5,23.1,151.6,12.9,93.7,54.3,42.3,High,1.29,Low,3138.0
Jajpur,Paddy,Rabi,2022,154.2,32.1,20.3,66.1,6.26,0.633,145.5,25.2,74.7,75.8,102.1,50.6,37.1,High,10.92,Medium,2188.0
Balasore,Maize,Kharif,2019,1218.2,26.0,23.5,87.2,6.17,0.799,211.5,35.8,123.2,20.5,110.3,79.9,46.8,Medium,0.92,Medium,4013.0
Jagatsinghpur,Maize,Kharif,2021,1447.8,40.1,22.0,69.5,6.94,0.437,220.7,28.7,149.2,47.5,115.1,33.7,41.8,Medium,2.28,Medium,3130.0
